,Palavras,Rotulo,Sentenca
47938,mosto,O,4307
47939,fermentado,O,4307
47940,de,O,4307
47941,caldo,O,4307
47942,da,O,4307
47943,cana,O,4307
47945,de,O,4307
47947,açúcar,O,4307
47948,Não,O,4307
47949,contém,O,4307
47950,glúten,O,4307
47952,Validade,O,4308
47953,Indeterminada,O,4308
47955,Madeira,O,4309
47957,Envelhecida,O,4309
47958,de,O,4309
47959,2,B-TEMPO_ARMAZENAMENTO,4309
47960,a,I-TEMPO_ARMAZENAMENTO,4309
47961,4,I-TEMPO_ARMAZENAMENTO,4309
47962,anos,I-TEMPO_ARMAZENAMENTO,4309
47963,em,O,4309
47964,tonéis,B-RECIPIENTE_ARMAZENAMENTO,4309
47965,de,O,4309
47966,carvalho,B-TIPO_MADEIRA,4309
47968,Conteúdo,O,4310
47970,700ml,B-VOLUME,4310
47972,Garrafa,O,4310
47973,Cachaça,O,4310
47974,do,O,4310
47975,Brasil,B-NOME_LOCAL,4310
47977,Brazil,B-NOME_LOCAL,4310
47978,Graduação,O,4310
47979,Alcoólica,O,4310
47981,38%,B-GRADUACAO_ALCOOLICA,4310
47982,Medidas,O,4310
47984,Altura,O,4310
47986,28,O,4310
47988,5,O,4310
47989,cm,O,4310
47991,Diâmetro,O,4310
47993,7,O,4310
47995,2,O,4310
47996,cm,O,4310
47997,MAPA,O,4310
47999,MG,B-NOME_LOCAL,4310
48000,5811,O,4310
48001,1,O,4310
48003,9,O,4310
48004,Para,O,4310
48005,refinar,O,4310
48006,mais,O,4310
48007,seu,O,4310
48008,sabor,O,4310
48010,a,O,4310
48011,cachaça,O,4310
48012,é,O,4310
48013,envelhecida,O,4310
48014,em,O,4310
48015,tonéis,B-RECIPIENTE_ARMAZENAMENTO,4310
48016,de,O,4310
48017,carvalho,B-TIPO_MADEIRA,4310
48019,por,O,4310
48020,um,O,4310
48021,período,O,4310
48022,entre,O,4310
48023,dois,B-TEMPO_ARMAZENAMENTO,4310
48024,e,I-TEMPO_ARMAZENAMENTO,4310
48025,quatro,I-TEMPO_ARMAZENAMENTO,4310
48026,anos,I-TEMPO_ARMAZENAMENTO,4310
48027,enriquecendo,O,4310
48028,ainda,O,4310
48029,mais,O,4310
48030,seu,O,4310
48031,aroma,O,4310
48033,O,O,4311
48034,resultado,O,4311
48035,é,O,4311
48036,uma,O,4311
48037,cachaça,O,4311
48038,artesanal,O,4311
48039,com,O,4311
48040,verdadeiro,O,4311
48041,sabor,O,4311
48042,mineiro,O,4311
48044,Volume,O,4312
48046,700,B-VOLUME,4312
48047,ML,I-VOLUME,4312
48048,GRADUAÇÃO,O,4313
48049,ALCOÓLICA,O,4313
48051,38%,B-GRADUACAO_ALCOOLICA,4313
48052,RECIPIENTE,O,4314
48053,DE,O,4314
48054,ARMAZENAMENTO,O,4314
48056,Envelhecida,O,4314
48057,de,O,4314
48058,2,B-TEMPO_ARMAZENAMENTO,4314
48059,a,I-TEMPO_ARMAZENAMENTO,4314
48060,4,I-TEMPO_ARMAZENAMENTO,4314
48061,anos,I-TEMPO_ARMAZENAMENTO,4314
48062,em,O,4314
48063,tonéis,B-RECIPIENTE_ARMAZENAMENTO,4314
48064,de,O,4314
48065,carvalho,B-TIPO_MADEIRA,4314
48067,LOCAL,O,4315
48068,DE,O,4315
48069,PRODUÇÃO,O,4315
48071,Cachaça,O,4315
48072,Mineira,O,4315
48073,produzida,O,4315
48074,em,O,4315
48075,Perdões,B-NOME_LOCAL,4315
48077,Minas,B-NOME_LOCAL,4315
48078,Gerais,I-NOME_LOCAL,4315
48080,Brasil,B-NOME_LOCAL,4315
48084,NOME,O,4317
48085,DA,O,4317
48086,CACHAÇA,O,4317
48088,Cachaça,O,4317
48089,de,O,4317
48090,Alambique,B-EQUIPAMENTO_DESTILACAO,4317
48091,Reserva,B-NOME_BEBIDA,4317
48092,do,I-NOME_BEBIDA,4317
48093,Gerente,I-NOME_BEBIDA,4317
48094,Ouro,B-CLASSIFICACAO_BEBIDA,4317
48095,700,B-VOLUME,4317
48096,ml,I-VOLUME,4317
48097,PREÇO,O,4318
48099,R$89,B-PRECO,4318
48100,",",I-PRECO,4318
48101,0,I-PRECO,4318
48102,DESCRIÇÃO,O,4319
48103,DA,O,4319
48104,CACHAÇA,O,4319
48106,Cachaça,O,4319
48107,de,O,4319
48108,Alambique,B-EQUIPAMENTO_DESTILACAO,4319
48109,Reserva,B-NOME_BEBIDA,4319
48110,do,I-NOME_BEBIDA,4319
48111,Gerente,I-NOME_BEBIDA,4319
48112,Ouro,B-CLASSIFICACAO_BEBIDA,4319
48113,700,B-VOLUME,4319
48114,ml,I-VOLUME,4319
48115,www,O,4319
48117,cachacaepresente,O,4319
48119,com,O,4319
48121,br,O,4319
48122,ORIGEM,O,4319
48124,Cachaça,O,4319
48125,Capixaba,O,4319
48126,produzida,O,4319
48127,em,O,4319
48128,Guarapari,B-NOME_LOCAL,4319
48130,Espírito,B-NOME_LOCAL,4319
48131,Santo,I-NOME_LOCAL,4319
48133,Brasil,B-NOME_LOCAL,4319
48134,Produzida,O,4319
48135,pela,O,4319
48136,Cachaçaria,B-NOME_ORGANIZACAO,4319
48137,Reserva,I-NOME_ORGANIZACAO,4319
48138,do,I-NOME_ORGANIZACAO,4319
48139,Gerente,I-NOME_ORGANIZACAO,4319
48140,Cachaça,O,4319
48141,de,O,4319
48142,alambique,B-EQUIPAMENTO_DESTILACAO,4319
48143,destilada,O,4319
48144,do,O,4319
48145,mosto,O,4319
48146,fermentado,O,4319
48147,de,O,4319
48148,caldo,O,4319
48149,da,O,4319
48150,cana,O,4319
48152,de,O,4319
48154,açúcar,O,4319
48155,Não,O,4319
48156,contém,O,4319
48157,glúten,O,4319
48159,Validade,O,4320
48160,Indeterminada,O,4320
48162,Madeira,O,4321
48164,Envelhecida,O,4321
48165,5,B-TEMPO_ARMAZENAMENTO,4321
48166,anos,I-TEMPO_ARMAZENAMENTO,4321
48167,em,O,4321
48168,tonéis,B-RECIPIENTE_ARMAZENAMENTO,4321
48169,de,O,4321
48170,Carvalho,B-TIPO_MADEIRA,4321
48171,Conteúdo,O,4321
48173,700ml,B-VOLUME,4321
48175,Garrafa,O,4321
48176,Brasil,B-NOME_LOCAL,4321
48177,Graduação,O,4321
48178,Alcoólica,O,4321
48180,42%,B-GRADUACAO_ALCOOLICA,4321
48181,Medidas,O,4321
48183,Altura,O,4321
48185,29,O,4321
48186,cm,O,4321
48188,Diâmetro,O,4321
48190,7,O,4321
48191,cm,O,4321
48192,MAPA,O,4321
48194,ES,O,4321
48195,6597,O,4321
48196,1,O,4321
48198,0,O,4321
48199,Um,O,4321
48200,dos,O,4321
48201,diferenciais,O,4321
48202,encontrados,O,4321
48203,na,O,4321
48204,Cachaça,O,4321
48205,Reserva,B-NOME_BEBIDA,4321
48206,do,I-NOME_BEBIDA,4321
48207,Gerente,I-NOME_BEBIDA,4321
48208,é,O,4321
48209,o,O,4321
48210,plantio,O,4321
48212,As,O,4322
48213,sementes,O,4322
48214,de,O,4322
48215,cana,O,4322
48217,de,O,4322
48219,açúcar,O,4322
48220,do,O,4322
48221,gênero,O,4322
48222,saccharum,O,4322
48223,são,O,4322
48224,escolhidas,O,4322
48225,cuidadosamente,O,4322
48227,A,O,4323
48228,saccharum,O,4323
48229,se,O,4323
48230,adapta,O,4323
48231,melhor,O,4323
48232,ao,O,4323
48233,solo,O,4323
48234,e,O,4323
48235,ao,O,4323
48236,clima,O,4323
48237,da,O,4323
48238,Ponta,O,4323
48239,da,O,4323
48240,Fruta,O,4323
48242,na,O,4323
48243,cidade,O,4323
48244,de,O,4323
48245,Vitória,B-NOME_LOCAL,4323
48247,Espirito,B-NOME_LOCAL,4323
48248,Santo,I-NOME_LOCAL,4323
48250,onde,O,4323
48251,é,O,4323
48252,feita,O,4323
48253,sua,O,4323
48254,fabricação,O,4323
48257,Mapa,O,4324
48258,da,O,4324
48259,Cachaça,O,4324
48261,Dourada,B-CARACTERISTICA_SENSORIAL_COR,4324
48263,boa,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,4324
48264,viscosidade,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,4324
48266,de,O,4324
48267,natureza,O,4324
48268,alcoólica,O,4324
48269,suave,B-CARACTERISTICA_SENSORIAL_AROMA,4324
48271,no,O,4324
48272,aroma,O,4324
48273,e,O,4324
48274,sabor,O,4324
48276,Macia,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,4325
48277,na,O,4325
48278,boca,O,4325
48280,com,O,4325
48281,toques,O,4325
48282,de,O,4325
48283,castanha,B-CARACTERISTICA_SENSORIAL_SABOR,4325
48285,Retrogosto,O,4326
48286,harmônico,O,4326
48287,e,O,4326
48288,agradável,O,4326
48291,Cúpula,O,4327
48292,da,O,4327
48293,Cachaça,O,4327
48295,ALGUNS,O,4327
48296,PRÊMIOS,O,4327
48298,4,O,4327
48300,o,O,4327
48301,Lugar,O,4327
48302,no,O,4327
48303,1,O,4327
48305,o,O,4327
48306,Ranking,O,4327
48307,Cúpula,O,4327
48308,da,O,4327
48309,Cachaça,O,4327
48310,2014,B-TEMPO,4327
48311,3,O,4327
48313,o,O,4327
48314,Lugar,O,4327
48315,no,O,4327
48316,II,O,4327
48317,Concurso,O,4327
48318,de,O,4327
48319,Avaliação,O,4327
48320,da,O,4327
48321,Qualidade,O,4327
48322,da,O,4327
48323,Cachaça,O,4327
48325,durante,O,4327
48326,o,O,4327
48327,VI,O,4327
48328,Brazilian,O,4327
48329,Meeting,O,4327
48330,On,O,4327
48331,Chemistry,O,4327
48332,Of,O,4327
48333,Food,O,4327
48334,And,O,4327
48335,Beverages,O,4327
48337,2006,B-TEMPO,4327
48338,3,O,4327
48340,o,O,4327
48341,Lugar,O,4327
48342,Melhores,O,4327
48343,Cachaças,O,4327
48344,em,O,4327
48345,2003,B-TEMPO,4327
48346,Ranking,O,4327
48347,Revista,O,4327
48348,Playboy,O,4327
48349,Volume,O,4328
48351,700,B-VOLUME,4328
48352,ml,I-VOLUME,4328
48353,GRADUAÇÃO,O,4329
48354,ALCOÓLICA,O,4329
48356,42%,B-GRADUACAO_ALCOOLICA,4329
48357,RECIPIENTE,O,4330
48358,DE,O,4330
48359,ARMAZENAMENTO,O,4330
48361,Envelhecida,O,4330
48362,5,B-TEMPO_ARMAZENAMENTO,4330
48363,anos,I-TEMPO_ARMAZENAMENTO,4330
48364,em,O,4330
48365,tonéis,B-RECIPIENTE_ARMAZENAMENTO,4330
48366,de,O,4330
48367,Carvalho,B-TIPO_MADEIRA,4330
48368,LOCAL,O,4331
48369,DE,O,4331
48370,PRODUÇÃO,O,4331
48372,Cachaça,O,4331
48373,Capixaba,O,4331
48374,produzida,O,4331
48375,em,O,4331
48376,Guarapari,B-NOME_LOCAL,4331
48378,Espírito,B-NOME_LOCAL,4331
48379,Santo,I-NOME_LOCAL,4331
48381,Brasil,B-NOME_LOCAL,4331
48382,PREMIOS,O,4332
48384,4,O,4332
48386,o,O,4332
48387,Lugar,O,4332
48388,no,O,4332
48389,1,O,4332
48391,o,O,4332
48392,Ranking,O,4332
48393,Cúpula,B-NOME_ORGANIZACAO,4332
48394,da,I-NOME_ORGANIZACAO,4332
48395,Cachaça,I-NOME_ORGANIZACAO,4332
48396,2014,B-TEMPO,4332
48397,3,O,4333
48399,o,O,4333
48400,Lugar,O,4333
48401,no,O,4333
48402,II,O,4333
48403,Concurso,O,4333
48404,de,O,4333
48405,Avaliação,O,4333
48406,da,O,4333
48407,Qualidade,O,4333
48408,da,O,4333
48409,Cachaça,O,4333
48410,durante,O,4333
48411,o,O,4333
48412,VI,O,4333
48413,Brazilian,O,4333
48414,Meeting,O,4333
48415,On,O,4333
48416,Chemistry,O,4333
48417,Of,O,4333
48418,Food,O,4333
48419,And,O,4333
48420,Beverages,O,4333
48422,2006,B-TEMPO,4333
48423,3,O,4334
48425,o,O,4334
48426,Lugar,O,4334
48427,Melhores,O,4334
48428,Cachaças,O,4334
48429,em,O,4334
48430,2003,B-TEMPO,4334
48431,Ranking,O,4334
48432,Revista,O,4334
48433,Playboy,O,4334
48437,NOME,O,4336
48438,DA,O,4336
48439,CACHAÇA,O,4336
48441,Cachaça,O,4336
48442,Weber,B-NOME_BEBIDA,4336
48443,Haus,I-NOME_BEBIDA,4336
48444,Premium,B-CLASSIFICACAO_BEBIDA,4336
48445,4,B-TEMPO_ARMAZENAMENTO,4336
48446,anos,I-TEMPO_ARMAZENAMENTO,4336
48447,certificado,O,4336
48448,especial,O,4336
48449,orgânica,O,4336
48450,750,B-VOLUME,4336
48451,ml,I-VOLUME,4336
48452,PREÇO,O,4337
48454,R$199,B-PRECO,4337
48455,",",I-PRECO,4337
48456,0,I-PRECO,4337
48457,DESCRIÇÃO,O,4338
48458,DA,O,4338
48459,CACHAÇA,O,4338
48461,Cachaça,O,4338
48462,Weber,B-NOME_BEBIDA,4338
48463,Haus,I-NOME_BEBIDA,4338
48464,Premium,B-CLASSIFICACAO_BEBIDA,4338
48465,4,B-TEMPO_ARMAZENAMENTO,4338
48466,anos,I-TEMPO_ARMAZENAMENTO,4338
48467,certificado,O,4338
48468,especial,O,4338
48469,orgânica,O,4338
48470,750,B-VOLUME,4338
48471,ml,I-VOLUME,4338
48473,OPINIÃO,O,4339
48475,Blog,O,4339
48476,Marvada,O,4339
48478,A,O,4339
48479,cachaça,O,4339
48480,produzida,O,4339
48481,pela,O,4339
48482,família,O,4339
48483,Weber,O,4339
48484,é,O,4339
48485,suave,O,4339
48487,de,O,4339
48488,sabor,O,4339
48489,marcadamente,O,4339
48490,amadeirado,B-CARACTERISTICA_SENSORIAL_SABOR,4339
48491,que,O,4339
48492,destaca,O,4339
48493,a,O,4339
48494,alma,O,4339
48495,carvalheira,O,4339
48496,dos,O,4339
48497,barris,B-RECIPIENTE_ARMAZENAMENTO,4339
48498,em,O,4339
48499,que,O,4339
48500,é,O,4339
48501,envelhecida,O,4339
48503,É,O,4340
48504,uma,O,4340
48505,bebida,O,4340
48506,que,O,4340
48507,se,O,4340
48508,consome,O,4340
48509,sem,O,4340
48510,dificuldade,O,4340
48511,e,O,4340
48512,que,O,4340
48513,pode,O,4340
48514,figurar,O,4340
48515,em,O,4340
48516,qualquer,O,4340
48517,carta,O,4340
48518,de,O,4340
48519,bebidas,O,4340
48520,sofisticadas,O,4340
48522,Compre,O,4341
48523,na,O,4341
48524,cachaçaepresente,O,4341
48526,com,O,4341
48528,br,O,4341
48530,você,O,4341
48531,vai,O,4341
48532,se,O,4341
48533,apaixonar,O,4341
48534,por,O,4341
48535,essa,O,4341
48536,maravilha,O,4341
48538,veja,O,4341
48539,também,O,4341
48540,a,O,4341
48541,envelhecida,O,4341
48542,6,B-TEMPO_ARMAZENAMENTO,4341
48543,anos,I-TEMPO_ARMAZENAMENTO,4341
48545,ORIGEM,O,4342
48547,Cachaça,O,4342
48548,Gaúcha,O,4342
48549,produzida,O,4342
48550,em,O,4342
48551,Ivoti,B-NOME_LOCAL,4342
48553,Rio,B-NOME_LOCAL,4342
48554,Grande,I-NOME_LOCAL,4342
48555,do,I-NOME_LOCAL,4342
48556,Sul,I-NOME_LOCAL,4342
48558,Brasil,B-NOME_LOCAL,4342
48559,Produzida,O,4342
48560,pela,O,4342
48561,Cachaçaria,B-NOME_ORGANIZACAO,4342
48562,Weber,I-NOME_ORGANIZACAO,4342
48563,Haus,I-NOME_ORGANIZACAO,4342
48564,Madeira,O,4342
48566,Envelhecida,O,4342
48567,4,B-TEMPO_ARMAZENAMENTO,4342
48568,anos,I-TEMPO_ARMAZENAMENTO,4342
48569,carvalho,B-TIPO_MADEIRA,4342
48570,francês,I-TIPO_MADEIRA,4342
48572,Premium,B-CLASSIFICACAO_BEBIDA,4342
48574,Orgânica,O,4342
48575,Conteúdo,O,4342
48577,700ml,B-VOLUME,4342
48579,Garrafa,O,4342
48580,exclusiva,O,4342
48581,Caixa,O,4342
48582,papelão,O,4342
48583,Graduação,O,4342
48584,Alcoólica,O,4342
48586,38%,B-GRADUACAO_ALCOOLICA,4342
48587,Destilada,O,4342
48588,em,O,4342
48589,alambiques,B-EQUIPAMENTO_DESTILACAO,4342
48590,e,O,4342
48591,envelhecida,O,4342
48592,em,O,4342
48593,barris,B-RECIPIENTE_ARMAZENAMENTO,4342
48594,de,O,4342
48595,carvalho,B-TIPO_MADEIRA,4342
48596,francês,I-TIPO_MADEIRA,4342
48597,durante,O,4342
48598,três,B-TEMPO_ARMAZENAMENTO,4342
48599,anos,I-TEMPO_ARMAZENAMENTO,4342
48601,o,O,4342
48602,que,O,4342
48603,proporciona,O,4342
48604,um,O,4342
48605,sabor,O,4342
48606,amadeirado,B-CARACTERISTICA_SENSORIAL_SABOR,4342
48608,Própria,O,4343
48609,para,O,4343
48610,ser,O,4343
48611,consumida,O,4343
48612,como,O,4343
48613,aperitivo,O,4343
48614,ou,O,4343
48615,digestivo,O,4343
48616,após,O,4343
48617,as,O,4343
48618,refeições,O,4343
48620,ALGUNS,O,4344
48621,PRÊMIOS,O,4344
48623,2012,B-TEMPO,4344
48625,2,O,4344
48627,o,O,4344
48628,Lugar,O,4344
48630,Degustação,O,4344
48631,às,O,4344
48632,cegas,O,4344
48634,21ª,O,4344
48635,Expo,O,4344
48636,Cachaça,O,4344
48637,Dose,O,4344
48638,Dupla,O,4344
48639,2011,B-TEMPO,4344
48641,Entre,O,4344
48642,as,O,4344
48643,15,O,4344
48644,melhores,O,4344
48646,21ª,O,4344
48647,Expo,O,4344
48648,Cachaça,O,4344
48649,Dose,O,4344
48650,Dupla,O,4344
48651,2010,B-TEMPO,4344
48653,Gold,O,4344
48654,Medal,O,4344
48656,CONCOURS,O,4344
48657,MONDIAL,O,4344
48658,BRUXELLES,B-NOME_LOCAL,4344
48660,Spirit,O,4344
48661,Selection,O,4344
48662,2009,B-TEMPO,4344
48664,Gold,O,4344
48665,Medal,O,4344
48667,CONCOURS,O,4344
48668,MONDIAL,O,4344
48669,BRUXELLES,B-NOME_LOCAL,4344
48671,Spirit,O,4344
48672,Selection,O,4344
48673,2008,B-TEMPO,4344
48675,Gold,O,4344
48676,Medal,O,4344
48678,CONCOURS,O,4344
48679,MONDIAL,O,4344
48680,BRUXELLES,B-NOME_LOCAL,4344
48682,Spirit,O,4344
48683,Selection,O,4344
48684,Certificações,O,4344
48686,Certificação,O,4344
48687,INMETRO,O,4344
48688,Portaria,O,4344
48689,nº,O,4344
48690,126,O,4344
48691,de,O,4344
48692,24,O,4344
48693,de,O,4344
48694,junho,O,4344
48695,de,O,4344
48696,2005,B-TEMPO,4344
48699,Certificado,O,4345
48700,IBD,O,4345
48702,São,O,4345
48703,Concedidas,O,4345
48704,quando,O,4345
48705,todas,O,4345
48706,as,O,4345
48707,etapas,O,4345
48708,da,O,4345
48709,produção,O,4345
48711,desde,O,4345
48712,o,O,4345
48713,preparo,O,4345
48714,do,O,4345
48715,solo,O,4345
48717,colheita,O,4345
48718,e,O,4345
48719,elaboração,O,4345
48720,se,O,4345
48721,enquadram,O,4345
48722,nos,O,4345
48723,requisitos,O,4345
48724,estabelecidos,O,4345
48725,pela,O,4345
48726,Lei,O,4345
48727,Orgânica,O,4345
48729,dentro,O,4345
48730,dos,O,4345
48731,padrões,O,4345
48732,ecológicos,O,4345
48733,e,O,4345
48734,com,O,4345
48735,absoluta,O,4345
48736,rastreabilidade,O,4345
48738,Os,O,4346
48739,processos,O,4346
48740,de,O,4346
48741,produção,O,4346
48742,atestam,O,4346
48743,o,O,4346
48744,cuidado,O,4346
48745,e,O,4346
48746,a,O,4346
48747,dedicação,O,4346
48748,em,O,4346
48749,oferecer,O,4346
48750,produtos,O,4346
48751,de,O,4346
48752,qualidade,O,4346
48753,com,O,4346
48754,garantia,O,4346
48755,de,O,4346
48756,origem,O,4346
48758,Volume,O,4347
48760,750,B-VOLUME,4347
48761,ml,I-VOLUME,4347
48762,GRADUAÇÃO,O,4348
48763,ALCOÓLICA,O,4348
48765,38%,B-GRADUACAO_ALCOOLICA,4348
48766,RECIPIENTE,O,4349
48767,DE,O,4349
48768,ARMAZENAMENTO,O,4349
48770,Envelhecida,O,4349
48771,4,B-TEMPO_ARMAZENAMENTO,4349
48772,anos,I-TEMPO_ARMAZENAMENTO,4349
48773,carvalho,B-TIPO_MADEIRA,4349
48774,francês,I-TIPO_MADEIRA,4349
48776,Premium,B-CLASSIFICACAO_BEBIDA,4349
48778,Orgânica,O,4349
48779,LOCAL,O,4350
48780,DE,O,4350
48781,PRODUÇÃO,O,4350
48783,Cachaça,O,4350
48784,Gaúcha,O,4350
48785,produzida,O,4350
48786,em,O,4350
48787,Ivoti,B-NOME_LOCAL,4350
48789,Rio,B-NOME_LOCAL,4350
48790,Grande,I-NOME_LOCAL,4350
48791,do,I-NOME_LOCAL,4350
48792,Sul,I-NOME_LOCAL,4350
48794,Brasil,B-NOME_LOCAL,4350
48795,PREMIOS,O,4351
48797,2012,B-TEMPO,4351
48799,2,O,4351
48801,o,O,4351
48802,Lugar,O,4351
48804,Degustação,O,4351
48805,às,O,4351
48806,cegas,O,4351
48808,21ª,O,4351
48809,Expo,O,4351
48810,Cachaça,O,4351
48811,Dose,O,4351
48812,Dupla,O,4351
48813,2011,B-TEMPO,4352
48815,Entre,O,4352
48816,as,O,4352
48817,15,O,4352
48818,melhores,O,4352
48820,21ª,O,4352
48821,Expo,O,4352
48822,Cachaça,O,4352
48823,Dose,O,4352
48824,Dupla,O,4352
48825,2010,B-TEMPO,4353
48827,Gold,O,4353
48828,Medal,O,4353
48830,CONCOURS,O,4353
48831,MONDIAL,O,4353
48832,BRUXELLES,B-NOME_LOCAL,4353
48834,Spirit,O,4353
48835,Selection,O,4353
48836,2009,B-TEMPO,4354
48838,Gold,O,4354
48839,Medal,O,4354
48841,CONCOURS,O,4354
48842,MONDIAL,O,4354
48843,BRUXELLES,B-NOME_LOCAL,4354
48845,Spirit,O,4354
48846,Selection,O,4354
48847,2008,B-TEMPO,4355
48849,Gold,O,4355
48850,Medal,O,4355
48852,CONCOURS,O,4355
48853,MONDIAL,O,4355
48854,BRUXELLES,B-NOME_LOCAL,4355
48856,Spirit,O,4355
48857,Selection,O,4355
48861,NOME,O,4357
48862,DA,O,4357
48863,CACHAÇA,O,4357
48865,Cachaça,O,4357
48866,Weber,B-NOME_BEBIDA,4357
48867,Haus,I-NOME_BEBIDA,4357
48868,Extra,B-CLASSIFICACAO_BEBIDA,4357
48869,Premium,I-CLASSIFICACAO_BEBIDA,4357
48870,reserva,B-CLASSIFICACAO_BEBIDA,4357
48871,especial,I-CLASSIFICACAO_BEBIDA,4357
48872,6,B-TEMPO_ARMAZENAMENTO,4357
48873,anos,I-TEMPO_ARMAZENAMENTO,4357
48874,750,B-VOLUME,4357
48875,ml,I-VOLUME,4357
48876,PREÇO,O,4358
48878,R$249,B-PRECO,4358
48879,",",I-PRECO,4358
48880,0,I-PRECO,4358
48881,DESCRIÇÃO,O,4359
48882,DA,O,4359
48883,CACHAÇA,O,4359
48885,Cachaça,O,4359
48886,Weber,B-NOME_BEBIDA,4359
48887,Haus,I-NOME_BEBIDA,4359
48888,Extra,B-CLASSIFICACAO_BEBIDA,4359
48889,Premium,I-CLASSIFICACAO_BEBIDA,4359
48890,reserva,B-CLASSIFICACAO_BEBIDA,4359
48891,especial,I-CLASSIFICACAO_BEBIDA,4359
48892,6,B-TEMPO_ARMAZENAMENTO,4359
48893,anos,I-TEMPO_ARMAZENAMENTO,4359
48894,750,B-VOLUME,4359
48895,ml,I-VOLUME,4359
48896,ORIGEM,O,4359
48898,Cachaça,O,4359
48899,Gaúcha,O,4359
48900,produzida,O,4359
48901,em,O,4359
48902,Ivoti,B-NOME_LOCAL,4359
48904,Rio,B-NOME_LOCAL,4359
48905,Grande,I-NOME_LOCAL,4359
48906,do,I-NOME_LOCAL,4359
48907,Sul,I-NOME_LOCAL,4359
48909,Brasil,B-NOME_LOCAL,4359
48910,Produzida,O,4359
48911,pela,O,4359
48912,Cachaçaria,B-NOME_ORGANIZACAO,4359
48913,Weber,I-NOME_ORGANIZACAO,4359
48914,Haus,I-NOME_ORGANIZACAO,4359
48916,As,O,4360
48917,qualidades,O,4360
48918,desta,O,4360
48919,cachaça,O,4360
48920,são,O,4360
48921,um,O,4360
48922,brinde,O,4360
48923,aos,O,4360
48924,sentidos,O,4360
48926,Ao,O,4361
48927,buscar,O,4361
48928,sutilezas,O,4361
48929,de,O,4361
48930,aromas,O,4361
48931,e,O,4361
48932,comparar,O,4361
48933,sabores,O,4361
48935,encontramos,O,4361
48936,surpresas,O,4361
48937,onde,O,4361
48938,a,O,4361
48939,madeira,O,4361
48940,nobre,O,4361
48941,se,O,4361
48942,destaca,O,4361
48943,e,O,4361
48944,evolui,O,4361
48946,Madeira,O,4362
48948,Envelhecida,O,4362
48949,6,B-TEMPO_ARMAZENAMENTO,4362
48950,anos,I-TEMPO_ARMAZENAMENTO,4362
48952,5,B-TEMPO_ARMAZENAMENTO,4362
48953,anos,I-TEMPO_ARMAZENAMENTO,4362
48954,em,O,4362
48955,barris,B-RECIPIENTE_ARMAZENAMENTO,4362
48956,de,O,4362
48957,carvalho,B-TIPO_MADEIRA,4362
48958,francês,I-TIPO_MADEIRA,4362
48959,e,O,4362
48960,1,B-TEMPO_ARMAZENAMENTO,4362
48961,ano,I-TEMPO_ARMAZENAMENTO,4362
48962,em,O,4362
48963,bálsamo,B-TIPO_MADEIRA,4362
48965,Conteúdo,O,4363
48967,700ml,B-VOLUME,4363
48969,Garrafa,O,4363
48970,exclusiva,O,4363
48971,Graduação,O,4363
48972,Alcoólica,O,4363
48974,38%,B-GRADUACAO_ALCOOLICA,4363
48975,ALGUNS,O,4363
48976,PRÊMIOS,O,4363
48978,2020,B-TEMPO,4363
48980,11,O,4363
48981,Lugar,O,4363
48982,no,O,4363
48983,IV,O,4363
48984,do,O,4363
48985,Ranking,O,4363
48986,da,O,4363
48987,Cúpula,B-NOME_ORGANIZACAO,4363
48988,da,I-NOME_ORGANIZACAO,4363
48989,Cachaça,I-NOME_ORGANIZACAO,4363
48990,2012,B-TEMPO,4363
48992,1,O,4363
48994,o,O,4363
48995,Lugar,O,4363
48996,em,O,4363
48997,degustação,O,4363
48998,às,O,4363
48999,cegas,O,4363
49001,21ª,O,4363
49002,Expo,O,4363
49004,Cachaça,O,4364
49005,Dose,O,4364
49006,Dupla,O,4364
49007,2011,B-TEMPO,4364
49009,Silver,O,4364
49010,Medal,O,4364
49011,CONCOURS,O,4364
49012,MONDIAL,O,4364
49013,BRUXELLES,B-NOME_LOCAL,4364
49015,Spirit,O,4364
49016,Selection,O,4364
49018,Silver,O,4364
49019,Medal,O,4364
49020,2010,B-TEMPO,4364
49022,Gold,O,4364
49023,Medal,O,4364
49024,CONCOURS,O,4364
49025,MONDIAL,O,4364
49026,BRUXELLES,B-NOME_LOCAL,4364
49028,Spirit,O,4364
49029,Selection,O,4364
49031,Gold,O,4364
49032,Med,O,4364
49033,Volume,O,4365
49035,750,B-VOLUME,4365
49036,ml,I-VOLUME,4365
49037,GRADUAÇÃO,O,4366
49038,ALCOÓLICA,O,4366
49040,38%,B-GRADUACAO_ALCOOLICA,4366
49041,RECIPIENTE,O,4367
49042,DE,O,4367
49043,ARMAZENAMENTO,O,4367
49045,Envelhecida,O,4367
49046,6,B-TEMPO_ARMAZENAMENTO,4367
49047,anos,I-TEMPO_ARMAZENAMENTO,4367
49049,5,B-TEMPO_ARMAZENAMENTO,4367
49050,anos,I-TEMPO_ARMAZENAMENTO,4367
49051,em,O,4367
49052,barris,B-RECIPIENTE_ARMAZENAMENTO,4367
49053,de,O,4367
49054,carvalho,B-TIPO_MADEIRA,4367
49055,francês,I-TIPO_MADEIRA,4367
